search_term,location,results_wanted,hours_old,schedule_type,cron_hour,cron_minute,cron_day_of_week,interval_hours,interval_minutes
Finance Manager,Hong Kong,50,720,cron,2,0,,
Banking Analyst,Hong Kong,50,720,cron,2,0,,
Financial Analyst,Hong Kong,50,720,cron,2,0,,
Investment Banking,Hong Kong,50,720,cron,2,0,,
Risk Analyst,Hong Kong,50,720,cron,2,0,,
Software Engineer,Hong Kong,50,720,cron,2,0,,
IT Manager,Hong Kong,50,720,cron,2,0,,
DevOps Engineer,Hong Kong,50,720,cron,2,0,,
Data Engineer,Hong Kong,50,720,cron,2,0,,
System Administrator,Hong Kong,50,720,cron,2,0,,
Network Engineer,Hong Kong,50,720,cron,2,0,,
Cybersecurity Analyst,Hong Kong,50,720,cron,2,0,,
Cloud Engineer,Hong Kong,50,720,cron,2,0,,
